;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1993-02-28;333,691777;3042,193757;233,966974;102,402239;99,676048;111,151375;113,335571;97,546178;65,408236;83,735361;91,063383;53,786135;101,604979
1993-03-31;324,797105;3144,214507;227,980512;95,794529;89,729751;112,448422;115,596389;92,29829;63,856583;85,203639;92,365254;58,201884;102,248323
1993-04-30;334,766109;3117,145571;228,439275;97,82668;94,942856;105,861069;110,217766;92,889043;74,148939;84,544983;90,881653;53,704761;102,32628
1993-05-31;326,362666;3058,931554;206,414752;93,35316;94,649624;97,987107;101,359292;86,083044;67,67655;81,583663;86,547467;51,156263;102,321892
1993-06-30;320,561448;2963,54409;223,119099;98,485351;99,643736;102,843955;117,916204;98,808296;84,303667;85,703717;93,253971;60,728044;100,460943
1993-07-31;322,136179;3111,558086;231,945549;97,275262;98,823099;103,980265;109,392812;92,198159;83,360357;83,646029;92,137703;53,576255;101,021581
1993-08-31;317,026077;3087,233018;225,3569;96,95955;92,662627;95,592949;111,187183;94,343858;67,133061;84,225491;91,688663;53,626414;101,764192
1993-09-30;320,129414;2081,234056;235,127041;97,828663;102,868273;108,798958;112,606389;105,384108;66,780963;86,368195;93,950508;54,565431;101,389079
1993-10-31;332,390041;2859,115349;211,915495;88,137805;97,502397;97,093104;106,016744;94,437776;68,176178;83,501957;91,068097;52,979339;102,343911
1993-11-30;342,543811;3207,15333;214,419344;90,745624;106,556277;104,501676;113,448941;96,029954;67,269583;85,273896;93,030211;57,370086;102,631712
1993-12-31;353,384401;3180,827639;228,589702;99,887525;101,559801;106,23228;110,619742;98,760657;63,400136;87,719186;98,400582;54,684808;102,462295
1994-01-31;347,420387;2452,329449;216,797854;98,098706;124,678071;98,555102;105,886818;93,208256;67,38378;82,781586;90,359822;49,282178;101,927592
1994-02-28;341,245099;3105,072359;199,51752;93,712529;96,063186;98,152735;107,936807;96,022987;74,13625;84,724221;92,240814;53,749765;101,533128
1994-03-31;341,502027;3113,144808;237,36466;104,810421;89,407407;100,625081;111,971132;98,553011;70,663183;86,170634;93,054887;60,475407;101,284591
1994-04-30;335,608005;3213,257815;204,282761;96,088237;103,909663;102,751231;105,170435;93,337071;70,206658;83,048819;88,823314;43,183518;101,36155
1994-05-31;334,654052;2986,064122;235,87494;103,542533;106,74095;107,619773;105,230306;99,874757;76,575553;85,998468;92,228994;58,122324;101,275062
1994-06-30;341,419195;3450,838546;230,996662;105,96666;105,53162;105,734689;107,024072;102,976521;87,318509;86,174275;93,749702;55,033035;101,246754
1994-07-31;329,641767;3320,440339;211,452428;96,026827;105,162584;102,119284;100,909222;94,608648;113,315589;84,244401;93,048284;62,224293;101,07286
1994-08-31;329,893448;3272,080482;227,694052;110,037334;99,396081;101,267419;111,008103;103,359793;89,651368;87,913025;95,880418;63,938899;100,997749
1994-09-30;330,230817;2543,951141;213,882626;103,115071;97,338695;104,790637;107,446427;102,166047;66,373258;85,801977;93,446756;59,94776;101,276962
1994-10-31;318,467227;3000,784946;220,845744;96,69354;121,028866;102,669317;104,796273;93,353274;72,131606;84,614219;92,319971;59,751393;101,326536
1994-11-30;317,243432;3031,081375;219,918648;110,078829;101,711714;104,401759;109,318414;103,092266;80,817983;87,335178;95,314034;62,067968;101,48595
1994-12-31;310,274039;3015,993826;215,967644;109,685613;119,280874;122,372444;105,841002;101,404586;70,170313;84,160546;94,675971;61,920519;101,827615
1995-01-31;303,508187;3165,154228;222,267974;100,483243;109,854936;105,304303;106,870876;106,949854;74,107587;86,544377;94,4662;63,885216;101,881467
1995-02-28;301,567655;3090,174188;217,566315;104,990257;98,144125;111,551392;108,107351;107,262382;72,633477;86,413587;94,192467;68,830424;102,419823
1995-03-31;307,966381;3049,086907;221,924487;103,93396;116,057215;112,71739;110,795142;114,475635;79,753303;88,783612;95,736985;68,373406;102,945642
1995-04-30;299,510112;3073,67958;221,378334;98,652809;109,361894;104,606832;104,499805;99,382152;68,013672;85,542203;91,74193;63,659257;103,012317
1995-05-31;301,658813;3264,240818;230,936738;107,871416;111,555856;111,024571;113,035336;114,442827;70,649102;89,955677;97,384595;77,536297;102,887151
1995-06-30;303,830234;1860,873999;227,99834;103,951351;111,799477;115,803404;109,084854;110,858273;73,3696;88,566736;96,602421;63,223389;104,551567
1995-07-31;293,754224;1975,268838;210,678466;96,939544;107,785175;100,186964;105,538451;99,048523;71,812465;84,91167;94,063941;69,032259;103,820272
1995-08-31;297,756985;2716,98216;224,189663;104,27985;119,69239;128,463365;113,223238;111,050583;79,143773;88,960152;97,124685;67,539527;102,976803
1995-09-30;291,827814;3260,946921;222,277455;101,19506;109,166352;114,075673;107,027987;104,268873;78,669486;87,64872;95,617865;60,725766;103,514952
1995-10-31;295,007155;3028,791374;208,614277;102,915299;104,392726;110,471043;111,394543;106,549058;81,059586;88,347114;96,426944;65,159848;102,608071
1995-11-30;316,171863;2960,731767;221,25983;105,743939;101,450734;118,057934;110,448375;111,843597;82,18501;89,825268;98,036312;68,808715;102,141503
1995-12-31;280,397777;2915,526817;191,430114;92,72686;111,903129;106,616343;102,152815;103,3439;80,748766;86,016985;95,600315;66,027866;102,395546
1996-01-31;282,131001;2985,645481;214,449124;100,600679;108,497849;134,319498;116,323065;113,553368;78,280349;90,284351;98,552059;66,873504;105,672564
1996-02-29;273,15885;2993,322518;209,093103;87,433943;112,518669;125,569461;112,02342;110,304444;77,955815;91,81959;100,280637;69,114013;106,167192
1996-03-31;266,533545;3016,264277;179,396927;91,564667;113,545137;128,019144;104,304436;105,001787;74,997126;86,716006;92,809957;64,686637;106,085137
1996-04-30;268,837274;2880,806057;201,459776;101,382166;109,364164;123,669906;109,211686;113,898564;77,372153;90,655178;97,924746;78,931229;105,752394
1996-05-31;262,822589;2947,407212;200,022577;96,641669;107,09058;127,667655;112,472729;115,061413;75,122777;90,809039;98,88956;76,898451;105,973748
1996-06-30;257,163867;2215,868947;186,000261;90,208746;99,596769;122,755331;105,903198;100,288228;72,753035;87,33433;94,863829;80,11447;107,13773
1996-07-31;253,547503;1383,283066;210,371843;102,078952;100,471361;124,923514;123,438076;120,484456;75,206807;92,473471;99,880465;63,528401;107,503151
1996-08-31;249,843953;2099,44219;198,828318;92,024285;103,433118;130,080099;115,921007;116,242442;78,253375;90,686424;99,014893;57,529865;108,272143
1996-09-30;238,369337;2645,375735;192,168394;89,325727;106,609882;122,765966;112,366533;111,23254;76,71235;90,03516;98,306552;65,918908;108,146805
1996-10-31;229,176489;2405,576727;216,517744;97,04615;118,280105;128,319688;117,371472;120,563565;87,424663;92,102103;100,517872;69,083587;108,288334
1996-11-30;228,161693;2370,315001;193,133407;87,566094;117,910153;118,693055;107,355109;114,529703;75,088659;89,890254;98,172385;63,857084;107,906855
1996-12-31;222,931592;2378,51361;204,30339;93,138003;86,096239;111,760666;109,850048;118,9706;79,363892;89,773221;98,466242;68,002747;106,840671
1997-01-31;217,862183;2370,761622;198,366678;78,676311;118,979608;116,216688;113,712222;121,544608;77,575529;92,290027;100,694172;76,505445;104,7406
1997-02-28;222,375496;2359,857645;206,678215;99,19537;131,197293;120,205175;110,731269;115,477534;76,11541;90,912435;99,231325;68,809032;104,633604
1997-03-31;214,536332;2429,069329;190,665588;90,268818;88,589662;115,75536;105,691561;108,712251;72,258214;87,117917;93,065718;67,11003;104,883419
1997-04-30;214,656899;2582,263997;248,18135;109,536489;130,809801;127,290315;122,638714;122,558494;79,592057;95,918248;104,517882;72,182435;104,900265
1997-05-31;210,673008;2454,515957;195,595229;94,705907;113,013836;124,008394;108,261089;114,329616;78,810034;90,578914;98,859833;64,436742;105,250992
1997-06-30;205,120185;2536,334511;202,960951;94,792212;128,402616;121,423814;109,010955;109,852992;76,813819;89,934895;97,836516;70,654452;105,025506
1997-07-31;212,570689;2397,799191;204,069159;102,437998;129,664535;120,664158;114,86414;120,767104;78,412055;91,905765;99,961571;64,160903;105,348347
1997-08-31;207,406578;2220,390486;195,810962;93,812434;118,931272;123,620571;103,800025;108,324379;76,097003;89,203062;97,26894;74,390223;106,302829
1997-09-30;211,793933;2223,495469;212,418478;99,879241;123,826652;113,738068;112,150287;118,41005;81,668078;91,388042;99,707696;80,699968;105,979583
1997-10-31;213,809778;2097,815645;217,84785;101,245836;123,353662;132,35156;112,95025;118,20385;88,706106;94,296086;102,867663;76,542697;106,963675
1997-11-30;210,510968;2062,961647;212,626599;93,883314;109,043705;118,691807;104,204667;108,294928;76,626456;91,058448;99,359119;71,027107;107,233377
1997-12-31;215,701447;2148,099649;215,14682;95,94903;114,812415;118,766849;113,4981;129,03543;84,265018;95,62427;103,401542;73,578093;106,388199
1998-01-31;211,705568;2096,117979;199,290302;98,096571;123,620672;125,91019;109,76834;115,618563;78,715719;93,705232;102,171627;75,25903;108,97115
1998-02-28;210,314743;2056,151301;201,615104;99,432806;111,045368;122,4136;106,4568;117,711445;80,174441;91,316371;99,612496;71,993064;109,198184
1998-03-31;209,487428;1847,176826;212,83228;99,651697;120,113456;121,139363;111,732349;119,701542;78,078809;92,78917;100,171626;72,768958;108,220535
1998-04-30;207,257235;2168,548647;199,885642;97,603777;104,341604;151,08337;114,354121;122,63056;80,992277;94,873396;103,506184;71,142632;107,447153
1998-05-31;204,006458;1747,946251;169,853114;93,458324;118,370025;123,169257;102,500811;113,290756;77,306999;88,773454;96,718638;78,469319;107,360997
1998-06-30;201,394342;1856,55481;193,170603;100,352706;111,360369;125,505109;111,372243;120,417847;80,14313;93,999439;102,702323;79,290611;111,843831
1998-07-31;204,633073;1997,387337;194,893973;97,806416;109,214967;130,159184;111,426294;122,810454;84,032477;94,907766;102,339505;72,969248;110,783244
1998-08-31;200,053403;1981,387823;184,936881;95,754515;123,59972;124,36216;105,306456;116,903077;78,511048;92,861302;101,263117;69,474561;109,944217
1998-09-30;200,789368;1964,52332;209,242672;102,711126;123,73789;133,2182;110,61937;123,758736;80,920383;94,651171;103,461019;66,089431;110,869367
1998-10-31;199,25991;2006,708048;151,984049;98,063067;118,521968;132,987371;104,302563;118,11967;82,531279;91,956099;100,217252;70,046057;109,376199
1998-11-30;208,240706;2040,229006;185,509197;97,390762;128,299585;129,350885;108,434015;118,216212;81,154462;91,929019;100,204543;68,378777;108,975769
1998-12-31;198,143846;1945,187119;189,155917;103,77915;99,613965;134,838355;110,001312;122,354688;90,765738;93,958716;102,040932;72,179633;109,100507
1999-01-31;195,314189;1836,556223;176,805358;99,813734;119,61874;130,181492;102,848765;110,708996;82,588245;89,620725;97,663916;66,274431;109,860345
1999-02-28;192,880345;1841,270485;178,326757;92,816238;122,886821;127,780615;106,706884;115,861192;83,243938;91,788762;100,029113;65,719396;109,761588
1999-03-31;190,481106;2056,732949;186,542447;103,31623;119,991182;129,254372;118,286779;125,646903;86,523883;94,520672;102,627204;69,880494;109,056101
1999-04-30;185,834259;1790,114975;194,074742;102,521285;119,334111;129,178617;103,856412;113,342396;83,163695;91,129682;99,029987;65,393507;108,341226
1999-05-31;165,106223;736,211257;187,440318;100,071412;127,483881;122,168158;104,790597;111,944985;81,022745;89,90278;97,961821;61,904659;108,424663
1999-06-30;184,620767;1816,773618;201,96009;110,572156;128,579998;140,714088;111,428963;121,620689;86,761925;94,523485;103,24816;64,891785;110,165783
1999-07-31;186,828445;2044,841151;192,260165;100,334653;126,305146;125,798453;106,68009;108,809028;84,062896;92,057217;100,502236;69,692708;110,207931
1999-08-31;187,044132;1898,680965;199,011036;105,62265;126,837146;125,383464;109,468578;111,552568;83,828096;93,133034;101,5159;66,69175;110,696765
1999-09-30;184,823289;1978,811552;220,66611;106,988733;127,131691;128,808984;109,709437;114,065676;86,655198;94,650437;103,352101;76,887255;110,760413
1999-10-31;187,092836;1970,471184;186,132696;97,973472;120,354438;118,609043;104,872466;108,830565;85,070416;93,583237;101,931766;68,77308;110,704863
1999-11-30;185,819382;1960,299548;188,035363;106,392922;121,301775;126,546294;113,487642;112,33835;89,554625;95,108472;103,446544;72,164681;110,569204
1999-12-31;165,812117;1860,591652;199,269594;108,863139;124,551446;141,871264;109,527972;114,147896;85,308481;93,494671;101,672643;71,7876;110,401325
2000-01-31;170,75226;1908,74361;192,997686;105,485356;118,626954;117,660528;105,3038;108,781228;83,675664;89,892266;97,904031;66,385985;109,877799
2000-02-29;177,70587;1971,384874;191,38558;115,388967;130,46111;124,249174;111,659356;116,771071;85,722515;94,355587;102,820092;72,223991;109,423158
2000-03-31;172,483359;1869,46667;195,579241;114,910289;116,9377;128,463541;113,856836;118,146499;89,181504;94,0076;102,35178;75,006506;109,143067
2000-04-30;155,579661;1801,422355;171,357154;102,581178;130,938213;121,210433;99,637116;104,20845;81,816888;88,064308;95,323987;57,986829;108,732969
2000-05-31;163,817357;1485,2999;198,823178;123,498888;142,760173;140,768783;114,627123;124,087382;90,947035;95,919354;104,887216;77,438896;108,241745
2000-06-30;173,421114;927,216464;192,706529;101,582204;122,257341;123,372147;107,155775;114,700972;91,335957;91,736653;99,808621;67,109861;107,109612
2000-07-31;169,166684;1683,420857;192,086052;100,102779;127,461003;117,174011;102,006897;112,489245;86,544082;90,082805;99,148496;63,704768;106,58817
2000-08-31;177,038559;1877,276857;226,911949;112,104009;122,315604;129,944296;110,669607;121,382535;93,144499;93,735976;102,165506;71,995796;106,381819
2000-09-30;171,981149;1808,387612;205,777257;105,293186;119,944685;133,321091;105,15687;116,943242;90,230432;91,495175;99,53511;71,967794;106,709819
2000-10-31;168,127258;1890,831916;210,417171;106,61517;125,976908;134,404596;102,298745;119,138057;89,118057;90,832361;98,876494;69,800244;107,533043
2000-11-30;165,566365;1956,250094;208,971409;114,170848;130,279996;136,161945;85,855538;125,784122;92,778157;92,197192;100,456866;72,021795;108,269698
2000-12-31;171,311473;1918,011624;183,663588;108,380692;139,113229;137,48605;92,007645;109,834471;88,671108;90,870534;99,437762;68,070524;109,735353
2001-01-31;169,261438;1912,807116;205,60994;114,16408;143,546276;136,228444;99,314194;122,477431;91,948494;92,675298;100,907862;67,41553;109,381675
2001-02-28;167,012718;1812,167055;195,192063;110,622761;135,307867;134,602067;99,930172;118,287276;90,09446;91,639908;99,787992;65,226513;108,812991
2001-03-31;165,576556;1874,388082;200,684266;103,880788;142,619203;133,225949;99,069027;117,836999;88,704228;91,492319;99,351261;62,242487;108,875321
2001-04-30;165,798966;1879,386615;162,422849;102,856563;130,435598;128,707511;107,44056;116,142285;86,884906;91,749351;99,976663;64,639787;109,18708
2001-05-31;166,306653;1842,589673;187,044536;113,939903;130,181648;136,979462;108,067337;125,202692;91,564817;95,248827;104,025781;69,626577;109,093768
2001-06-30;165,907045;2041,371118;194,32651;108,83195;129,158983;134,867626;104,524972;119,902409;86,849371;93,118356;101,459702;68,831365;108,228384
2001-07-31;164,786257;1715,168396;193,042469;112,386679;136,766201;128,990701;107,693468;122,669976;88,457554;92,982942;101,195241;68,568874;108,000227
2001-08-31;166,280038;1699,967042;189,789298;113,216578;137,383892;133,161849;110,860675;123,267747;91,006596;94,019677;102,509244;73,171618;107,753744
2001-09-30;166,42458;1655,736996;186,022061;100,207657;136,127357;123,063143;104,975674;112,752353;86,291724;90,894291;98,847679;67,793818;107,766353
2001-10-31;165,383106;1636,086974;179,670835;112,030807;141,135572;118,351839;119,353253;126,605348;92,450998;92,077575;100,140811;67,065125;107,958146
2001-11-30;162,843386;1305,887455;182,718982;110,710178;138,861697;123,640212;116,396876;123,752275;90,052778;93,565251;101,87339;67,210212;108,326263
2001-12-31;160,511196;1263,506832;176,782827;96,623392;119,139896;110,671865;103,441668;111,227563;87,790633;90,728787;99,322981;64,555305;110,034532
2002-01-31;164,616161;1719,234796;184,623642;108,71362;122,479194;118,501004;114,801626;122,780007;91,62297;96,511429;105,095139;77,126226;106,941955
2002-02-28;160,717239;1685,92792;191,673727;105,681425;137,546282;113,208171;110,973798;116,30185;89,210689;94,340453;102,805235;72,367478;106,740283
2002-03-31;166,378955;1649,71499;172,843297;101,989464;133,831389;107,599765;107,338083;114,112475;90,070385;93,136407;101,369928;70,569843;106,125361
2002-04-30;166,856919;1600,433387;183,473081;109,742864;145,700761;114,425822;108,949321;117,152804;93,697991;94,02714;102,906211;72,463765;105,376115
2002-05-31;156,961028;1727,98704;194,606368;104,310853;113,81753;123,977008;111,184401;115,999096;92,1487;93,637171;102,062791;68,472194;106,072962
2002-06-30;155,019729;1882,269321;175,46561;103,090544;138,323761;99,522575;103,597139;107,151117;86,245155;91,687087;99,680934;63,966065;107,824753
2002-07-31;154,46799;1722,001774;181,96817;113,708315;132,278579;113,583646;115,390088;121,553776;94,043887;95,058336;102,749827;68,546932;108,327847
2002-08-31;154,462668;1650,814148;182,222188;99,322533;120,22888;110,148998;107,173566;109,462275;91,821529;93,65329;102,13115;62,914579;108,729721
2002-09-30;155,162676;1679,414615;175,590801;103,032744;128,859674;106,957786;109,290603;109,941511;90,513118;92,703275;101,013842;66,137693;108,887806
2002-10-31;155,099671;1544,056245;182,04594;104,669702;131,916144;119,436723;114,441223;115,419271;100,189154;96,576875;104,837437;75,493416;108,393176
2002-11-30;154,14307;1514,178715;174,352461;99,293553;126,409774;109,374958;105,505637;106,724328;89,195441;93,467259;101,76783;70,441903;107,729105
2002-12-31;147,914398;1674,990077;173,99021;102,822799;128,175964;114,461918;108,278107;109,90975;93,884808;93,86653;102,085698;67,90217;107,241931
2003-01-31;145,151494;1633,34975;185,465104;98,587359;125,204313;125,226443;112,115341;113,025934;91,764871;93,181724;101,491808;74,919618;108,012498
2003-02-28;148,302279;1562,159219;186,973567;102,29577;114,679695;127,221294;111,164559;111,936934;93,03954;92,31321;100,538559;69,661741;106,836491
2003-03-31;150,195144;1563,989133;191,854973;104,703172;119,326212;128,553066;106,440897;105,315716;89,224557;89,706342;97,082958;70,528032;105,727064
2003-04-30;151,95838;1542,432739;194,528146;108,639381;122,507069;127,034495;115,23611;113,659695;99,085248;94,362498;103,33016;76,499188;104,77316
2003-05-31;150,875073;1473,427741;185,767404;99,788375;119,461036;124,621656;106,605212;106,651831;91,539247;90,172046;97,881102;75,375565;105,30337
