;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1993-06-30;0,989328;0,73427;11,879291;20,303145;5,241836;11,187315;0,998254;1,046108;9,465264;1,169805;14,491196;9,402017;1,229659
1993-07-31;1,010352;0,986481;8,580032;13,933542;-3,750002;30,49596;0,976758;0,964326;5,974193;1,039255;-33,702411;8,131768;1,631321
1993-08-31;1,005344;1,078052;-52,240171;-16,651459;-38,062683;-62,658397;1,020153;0,920089;6,557037;0,849601;2,630492;-1,329418;2,084563
1993-09-30;0,992009;0,930704;28,63783;10,619068;13,961707;9,578563;1,016549;1,008921;-9,976249;1,12265;10,930915;-10,576722;2,297793
1993-10-31;1,033631;0,972647;13,430778;15,079247;5,357974;8,665546;1,024518;1,048734;-8,796168;0,979863;-0,98581;-7,901253;1,307356
1993-11-30;0,994187;1,038878;-5,1759;-1,020909;7,422866;-0,099128;0,992124;0,9929;-7,650824;1,027095;-5,114283;-8,49219;0,847414
1993-12-31;1,01612;1,072907;-43,872247;-22,989967;14,500693;-9,50537;1,007578;1,042346;-16,359365;1,062465;-22,40225;-5,315062;0,527652
1994-01-31;1,014133;1,096544;12,176898;-21,857795;13,523339;0,99553;1,01584;0,995267;3,45612;0,875326;-1,123902;-4,28149;0,492978
1994-02-28;0,912105;0,981266;0,277509;-15,14501;-4,304729;-1,888085;0,908005;0,910858;3,025166;0,89556;2,704068;-5,326695;0,421454
1994-03-31;1,022842;1,07046;22,888382;6,455068;0,128956;11,150897;1,051381;1,034412;-0,633081;1,090698;13,821073;5,401281;0,405282
1994-04-30;0,984308;1,006424;2,172259;6,164528;2,171281;2,256807;0,974328;1,028315;4,386089;0,963416;11,926755;10,255283;0,335579
1994-05-31;1,022308;0,997726;-0,17866;4,146106;-14,691704;-0,008043;1,0178;1,006769;9,618533;0,925504;7,08321;8,974078;0,420304
1994-06-30;0,990878;0,741347;11,861291;20,824709;5,766896;12,155881;1,000039;1,04549;7,239603;1,167186;14,344512;10,582009;1,238648
1994-07-31;1,011879;1,000076;8,558975;14,058211;-5,330391;29,032566;0,970649;0,967565;3,655907;1,036584;-34,346231;8,313727;1,633961
1994-08-31;1,005617;1,084567;-50,482481;-16,334145;-38,859609;-59,619659;1,022371;0,917498;6,254663;0,850946;2,724067;-1,662713;2,071267
1994-09-30;0,991885;0,938453;29,140629;11,541404;13,086891;9,357653;1,016337;1,012713;-7,621337;1,124;10,872355;-10,571707;2,298599
1994-10-31;1,032938;0,991787;14,153513;15,501243;5,731241;8,129842;1,024286;1,047963;-6,579481;0,983194;-0,727439;-6,834124;1,301025
1994-11-30;0,993952;1,045322;-4,508892;-2,003571;4,944236;-2,033965;0,982919;0,990009;-4,875875;1,027611;-5,227742;-8,63688;0,844549
1994-12-31;1,017917;1,07469;-40,576246;-23,127521;16,309953;-11,835859;1,012177;1,045596;-13,161793;1,060734;-21,879534;-4,690939;0,528125
1995-01-31;1,015963;1,089019;8,012659;-22,001895;15,749928;0,652767;1,01766;0,988709;2,84722;0,876603;-1,038101;-5,439627;0,498811
1995-02-28;0,914107;0,973993;-1,081779;-15,088762;-5,229682;-0,46472;0,914446;0,912352;2,674257;0,896414;2,738;-5,998104;0,425039
1995-03-31;1,021483;1,056549;21,686452;6,152201;3,381127;11,749379;1,047103;1,037325;-1,160395;1,088842;14,192411;4,484886;0,407089
1995-04-30;0,9813;0,992995;0,427025;5,779252;0,404122;2,312967;0,97638;1,030092;3,441754;0,960394;11,707449;10,055318;0,336116
1995-05-31;1,017939;0,974943;0,845027;4,050316;-14,069274;0,880257;1,018888;1,001875;6,642034;0,930735;7,084618;9,600106;0,420596
1995-06-30;0,98915;0,749475;11,209688;20,842103;4,93356;12,065181;0,996864;1,047023;4,539897;1,160508;13,857133;11,70523;1,246993
1995-07-31;1,016209;1,013209;9,078114;14,660495;-7,118669;27,120831;0,972422;0,967744;1,900567;1,03732;-34,85488;7,81125;1,63571
1995-08-31;1,006445;1,083905;-49,411154;-16,724038;-39,356954;-55,659492;1,020681;0,919615;5,895978;0,851351;2,701799;-2,042339;2,057163
1995-09-30;0,993228;0,953848;28,624759;12,167611;12,493364;8,672541;1,014752;1,016206;-5,674755;1,122703;10,823602;-10,47533;2,297598
1995-10-31;1,032556;1,019309;17,403407;16,260752;7,071358;9,241316;1,026995;1,045216;-4,261512;0,988769;-0,251396;-5,304259;1,294636
1995-11-30;0,992696;1,050641;-2,994207;-3,017446;3,51275;-3,524408;0,974081;0,989666;-2,778497;1,025343;-5,585974;-9,118408;0,841336
1995-12-31;1,021279;1,072781;-36,631275;-22,986107;17,647611;-14,744005;1,017829;1,045052;-9,589368;1,061724;-21,128712;-3,914966;0,528888
1996-01-31;1,015885;1,076925;2,970287;-22,023169;17,161428;0,870189;1,020214;0,983323;2,46032;0,878003;-0,930855;-5,581421;0,506056
1996-02-29;0,916583;0,965873;-2,929915;-14,546118;-5,831461;0,518737;0,9192;0,914703;1,787474;0,89568;2,629431;-6,951833;0,429555
