;span.start;span.end;span.n;arima.p;arima.d;arima.q;arima.bp;arima.bd;arima.bq;log;m-statistics.m7;m-statistics.q;m-statistics.q-m2;regression.out(1);;;regression.out(2);;;regression.out(3);;;regression.out(4);;;regression.out(5);;;regression.out(6);;;regression.out(7);;;regression.out(8);;;regression.out(9);;;regression.out(10);;;regression.out(11);;;regression.out(12);;;regression.out(13);;;regression.out(14);;;regression.out(15);;;regression.out(16);;;regression.out(17);;;regression.out(18);;;regression.out(19);;;regression.out(20);;;regression.out(21);;;regression.out(22);;;regression.out(23);;;regression.out(24);;;regression.nout;regression.leaster;regression.ntd;regression.lp;;;regression.td-ftest;;;decomposition.trend-filter;decomposition.seasonal-filters;diagnostics.seas-sa-ac1;diagnostics.seas-sa-qs;;diagnostics.seas-sa-f;;diagnostics.seas-i-qs;;diagnostics.seas-i-f;;diagnostics.td-sa-last;;diagnostics.td-i-last;;residuals.doornikhansen;;;residuals.kurtosis;;;residuals.skewness;;;residuals.lb;;;residuals.lb2;;;diagnostics.fcast-outsample-mean;;diagnostics.fcast-outsample-variance;;diagnostics.seas-lin-combined;quality.summary
Siachen Glacier (frozen);2000-01-01;2024-12-01;300;2;1;1;0;1;1;0;0,367669883;0,671375098;0,748499128;AO (2001-04);1,648157;4,3215;AO (2001-07);5,752588;5,5409;LS (2001-08);-12,413065;-6,6777;AO (2003-10);-11,081766;-34,1001;AO (2004-08);7,67624;23,6018;AO (2008-04);12,035968;36,0478;AO (2008-08);8,290863;24,9436;AO (2009-10);14,787843;43,5978;AO (2010-01);-8,175446;-24,0765;LS (2013-09);5,461719;8,8735;AO (2013-12);1,308841;3,9656;AO (2014-07);13,101607;38,9445;LS (2014-11);3,600806;5,8801;AO (2016-12);-14,91822;-46,9404;AO (2017-09);2,863219;8,8844;AO (2018-02);16,673447;50,8971;LS (2018-07);4,111838;6,7262;AO (2018-11);2,825358;8,7888;AO (2020-02);-22,302388;-62,9864;AO (2023-06);8,063932;24,4615;LS (2023-12);4,953531;7,7007;AO (2024-03);22,930011;62,0767;;;;;;;22;0;6;Leap year;0,551124;3,3465;1,285397;0,2643;F with 6.0 degrees of freedom in the nominator and 254.0 degrees of freedom in the denominator;13;S3X5;0,338605612;0;1;1,015491;0,4325;0;1;0,42959;0,9422;0,399756;0,8789;0,402821;0,8769;1,01555;0,6018;Chi2 with 2.0 degrees of freedom ;2,871899;0,6578;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;0,134672;0,3516;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;27,986492;0,1097;Chi2 with 20.0 degrees of freedom ;22,608751;0,3084;Chi2 with 20.0 degrees of freedom ;-0,02016;0,9839;1,227641;0,2382;Present;Good
Nagorno-Karabakh (frozen);2000-01-01;2024-12-01;300;0;1;1;0;1;1;0;0,171985721;0,452484871;0,511576673;LS (2000-05);8,859293;5,9123;LS (2000-06);-19,774388;-13,195;AO (2001-11);-7,284181;-10,7227;LS (2002-03);10,736755;9,5456;AO (2003-01);-3,284201;-4,6979;AO (2003-06);9,603405;14,3444;AO (2004-02);-14,165915;-19,7062;AO (2004-04);-16,103918;-23,1792;AO (2006-03);8,337689;12,4617;AO (2006-12);-18,100187;-26,3092;AO (2007-11);-6,122387;-8,9026;AO (2009-08);-9,123756;-13,1788;AO (2010-07);-3,482238;-4,871;AO (2010-10);13,75179;19,7686;AO (2010-12);3,924866;5,6848;AO (2011-06);-4,248292;-6,1528;AO (2014-04);8,813534;13,235;AO (2014-12);5,506373;8,2364;TC (2016-12);-4,613356;-4,7025;TC (2017-05);-11,168846;-11,3226;AO (2018-06);14,593721;21,7173;AO (2021-12);-11,131584;-16,7092;AO (2022-06);-9,342193;-13,0011;AO (2023-06);12,923844;17,7511;24;0;0;;;;;;;13;S3X3;0,226563028;1,165985;0,5582;0,960142;0,4832;0;1;0,645937;0,7886;0,816154;0,5581;0,552725;0,7677;3,594508;0,1658;Chi2 with 2.0 degrees of freedom ;3,453983;0,1164;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;0,073438;0,6115;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;29,411381;0,1335;Chi2 with 22.0 degrees of freedom ;22,922198;0,4061;Chi2 with 22.0 degrees of freedom ;0,056549;0,9549;1,444949;0,1104;Present;Good
Mongolia (frozen);2000-01-01;2024-12-01;300;3;1;1;0;1;1;1;0,160372082;0,454043755;0,51366236;LS (2006-08);-0,05115;-5,4493;LS (2010-09);0,095582;10,1761;AO (2012-07);0,174675;31,8637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;0;;;;;;;13;S3X3;0,237922583;14,457481;0,0007;1,151698;0,321;0;1;0,887191;0,5533;1,775773;0,1038;1,48665;0,1824;1,478933;0,4774;Chi2 with 2.0 degrees of freedom ;3,037739;0,8962;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;-0,17101;0,2369;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;47,176639;0,0003;Chi2 with 19.0 degrees of freedom ;24,397211;0,1814;Chi2 with 19.0 degrees of freedom ;1,631145;0,104;1,360082;0,1512;Present;Severe
India (frozen);2000-01-01;2024-12-01;300;3;1;1;0;1;1;0;0,637020888;0,771385782;0,832125586;AO (2001-05);5,282019;14,5013;AO (2003-04);-15,422085;-40,4853;AO (2003-07);-3,190285;-8,537;LS (2004-04);11,473705;16,6362;TC (2007-09);8,747512;13,5887;TC (2007-11);-2,726147;-4,2971;AO (2008-05);3,493443;9,2449;AO (2008-08);6,816455;18,6123;AO (2010-07);-1,814789;-5,0811;AO (2012-03);3,386602;8,9183;AO (2012-10);1,831849;5,42;TC (2014-02);-5,36299;-8,8784;AO (2014-04);-11,442089;-29,5202;AO (2015-12);9,866163;26,6707;AO (2016-03);12,117726;29,7948;AO (2016-06);-5,284739;-14,4997;AO (2016-12);8,039026;23,057;AO (2018-11);-7,548975;-21,6744;LS (2020-01);5,167675;7,7117;AO (2020-10);-8,176705;-23,6136;LS (2021-07);4,274057;6,3556;AO (2022-05);-12,770479;-30,2966;AO (2022-07);-14,034162;-32,2853;AO (2024-09);6,859046;17,9909;24;1;6;Leap year;0,486472;2,6531;6,3956;0;F with 6.0 degrees of freedom in the nominator and 250.0 degrees of freedom in the denominator;13;S3X5;0,328343966;0;1;0,919082;0,5223;0;1;0,631096;0,8018;0,583654;0,7433;0,659598;0,6824;1,144969;0,5641;Chi2 with 2.0 degrees of freedom ;2,912576;0,7624;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;0,148512;0,3044;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;33,119451;0,0233;Chi2 with 19.0 degrees of freedom ;21,520424;0,3088;Chi2 with 19.0 degrees of freedom ;0,425449;0,6709;1,112561;0,3394;Present;Good
Nepal (frozen);2000-01-01;2024-12-01;300;0;1;1;0;1;1;0;0,198446978;0,443402836;0,500286089;AO (2002-12);13,666313;14,7253;AO (2005-02);18,907377;20,6902;AO (2006-04);5,110038;5,5653;AO (2006-12);3,920283;4,2513;TC (2007-07);8,221237;6,2782;AO (2007-10);-12,353311;-13,5091;TC (2008-01);7,310046;5,5202;AO (2008-04);-10,323102;-11,2441;AO (2011-06);-22,134637;-24,1167;AO (2013-06);-21,445528;-23,3806;AO (2014-02);6,262906;6,8741;AO (2016-09);-7,911073;-8,6696;AO (2019-08);10,227682;11,1598;AO (2021-05);10,06873;10,7285;AO (2021-07);-8,739716;-9,2674;AO (2021-10);-11,30113;-12,2105;AO (2023-06);-4,099744;-4,2942;AO (2023-12);-7,412829;-7,5323;LS (2024-11);-10,492768;-6,4124;;;;;;;;;;;;;;;;19;0;0;;;;;;;13;S3X3;0,166237562;0;1;0,786612;0,6535;0;1;0,532147;0,8809;0,388906;0,8859;0,289701;0,9416;4,453677;0,1079;Chi2 with 2.0 degrees of freedom ;2,989528;0,9711;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;-0,292005;0,0434;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;20,565219;0,5477;Chi2 with 22.0 degrees of freedom ;33,952118;0,0497;Chi2 with 22.0 degrees of freedom ;-0,542614;0,5878;0,504588;0,955;Present;Good
Philippines (frozen);2000-01-01;2024-12-01;300;2;1;1;0;1;1;0;0,358063868;0,633893943;0,695069967;AO (2002-05);6,844859;14,9959;AO (2003-08);-9,364937;-20,5443;TC (2004-02);-6,820103;-9,5598;AO (2005-01);-4,616471;-10,1981;AO (2005-08);-11,082866;-19,7447;TC (2005-10);4,866759;5,5128;TC (2006-10);6,387612;8,9929;AO (2011-08);7,083491;15,7872;TC (2013-07);-11,776517;-11,6924;TC (2013-08);6,613428;6,3223;LS (2013-11);12,168875;14,2802;AO (2018-10);-7,145735;-15,9452;AO (2020-06);2,180406;4,8461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;0;0;;;;;;;13;S3X5;0,272816691;0;1;1,317636;0,2138;0;1;0,836238;0,6039;1,908089;0,0794;2,239449;0,0396;2,09142;0,3514;Chi2 with 2.0 degrees of freedom ;2,930372;0,8097;Normal with Mean = 3.0 and Stdev = 0.28917761562712796;-0,20023;0,1661;Normal with Mean = 0.0 and Stdev = 0.14458880781356398;29,823022;0,0728;Chi2 with 20.0 degrees of freedom ;30,391173;0,0638;Chi2 with 20.0 degrees of freedom ;-0,813549;0,4166;1,097543;0,3544;Present;Good
